"","Zip","Amt1"
"758","95113-1006",750
"759","95113-1503",1100
"760","95113-1600",1100
"761","95113-1731",750
"762","95113-1808",3300
"763","95113-2271",1100
"764","95113-2292",1500
"765","95113-2295",1000
"766","95113-2427",1000
"767","95113-2429",2200
"768","95113-2544",1000
"769","95113-2816",750
"770","95113-2819",7700
"771","95114",350
"772","95116",30715
"773","95116-1083",250
"774","95116-1263",600
"775","95116-2637",300
"776","95116-2920",50
"777","95116-3120",300
"778","95116-3261",300
"779","95116-3303",270
"780","95116-4001",100
"781","95117",10105
"782","95117-1518",100
"783","95117-1568",200
"784","95117-2021",300
"785","95117-3526",600
"786","95117-4040",100
"787","95118",17608
"788","95118-1105",300
"789","95118-1164",2000
"790","95118-1249",750
"791","95118-1339",398
"792","95118-1340",50
"793","95118-1430",600
"794","95118-1634",300
"795","95118-2015",150
"796","95118-2027",100
"797","95118-2420",60
"798","95118-2457",2200
"799","95118-2627",2200
"800","95118-3045",100
"801","95118-5204",150
"802","95118-5213",1200
"803","95119",3910.98
"804","95119-1212",3300
"805","95119-1706",300
"806","95119-1934",100
"807","95120",64488.96
"808","95120-0000",500
"809","95120-1101",1100
"810","95120-1206",300
"811","95120-1701",750
"812","95120-2152",100
"813","95120-2232",1500
"814","95120-2853",225
"815","95120-2922",300
"816","95120-3201",4300
"817","95120-3860",250
"818","95120-3932",200
"819","95120-4036",1100
"820","95120-4108",3000
"821","95120-4109",300
"822","95120-4114",300
"823","95120-4437",3000
"824","95120-4504",1500
"825","95120-4612",1500
"826","95120-4711",300
"827","95120-4738",3300
"828","95120-4902",600
"829","95120-4909",890.98
"830","95120-5533",50
"831","95120-5612",250
"832","95120-5616",600
"833","95121",59867
"834","95121-0000",1100
"835","95121-1030",300
"836","95121-1053",150
"837","95121-1241",300
"838","95121-1247",100
"839","95121-1311",600
"840","95121-1341",300
"841","95121-1400",500
"842","95121-1423",200
"843","95121-1455",1300
"844","95121-1587",1400
"845","95121-1711",300
"846","95121-2364",140.98
"847","95121-2400",1100
"848","95121-2433",200
"849","95121-2514",1100
"850","95121-2545",90
"851","95121-2551",10
"852","95121-2554",300
"853","95121-2759",50
"854","95121-3211",300
"855","95122",25543
"856","95122-0000",100
"857","95122-1224",100
"858","95122-2364",100
"859","95122-2600",300
"860","95122-3200",300
"861","95122-3432",100
"862","95122-4009",300
"863","95123",14220.98
"864","95123-1038",3300
"865","95123-1316",100
"866","95123-2454",747
"867","95123-2473",200
"868","95123-3630",300
"869","95123-3828",300
"870","95123-4301",300
"871","95123-4337",1050
"872","95123-4441",200
"873","95123-4461",100
"874","95123-4629",700
"875","95123-4648",950
"876","95123-4936",50
"877","95123-5122",225
"878","95123-5516",150
"879","95124",49665.96
"880","95124-1018",350
"881","95124-1106",200
"882","95124-1220",500
"883","95124-1233",200
"884","95124-1246",750
"885","95124-1673",1600
"886","95124-1735",200
"887","95124-1767",250
"888","95124-1804",250
"889","95124-1955",40
"890","95124-2156",300
"891","95124-2831",250
"892","95124-3133",500
"893","95124-5114",750
"894","95124-5730",100
"895","95124-5739",500
"896","95124-6039",600
"897","95125",198077.61
"898","95125-1499",3300
"899","95125-1634",200
"900","95125-1645",100
"901","95125-1754",150
"902","95125-2128",1400
"903","95125-2171",75
"904","95125-2209",75
"905","95125-2304",50
"906","95125-2451",350
"907","95125-2525",300
"908","95125-2544",600
"909","95125-2651",500
"910","95125-2655",3200
"911","95125-2724",150
"912","95125-2943",2100
"913","95125-2952",1100
"914","95125-3142",100
"915","95125-3233",20
"916","95125-3321",200
"917","95125-3343",1150
"918","95125-3405",300
"919","95125-3981",960
"920","95125-4022",200
"921","95125-4032",300
"922","95125-4111",300
"923","95125-4153",200
"924","95125-4538",50
"925","95125-4646",2200
"926","95125-4765",500
"927","95125-4810",3300
"928","95125-4826",1000
"929","95125-4904",500
"930","95125-4906",450
"931","95125-5021",850
"932","95125-5033",600
"933","95125-5047",150
"934","95125-5205",300
"935","95125-5508",2200
"936","95125-5650",300
"937","95125-5807",1000
"938","95126",105226.98
"939","95126-1109",2200
"940","95126-1248",1350
"941","95126-1511",550
"942","95126-1641",300
"943","95126-1647",1500
"944","95126-1707",1100
"945","95126-1807",300
"946","95126-1839",4500
"947","95126-1904",300
"948","95126-2009",200
"949","95126-2229",1000
"950","95126-2502",500
"951","95126-2504",1500
"952","95126-2603",500
"953","95126-2723",750
"954","95126-2754",150
"955","95126-2811",400
"956","95126-3224",100
"957","95126-3512",500
"958","95126-3750",400
"959","95126-3797",500
"960","95126-4019",300
"961","95126-4723",500
"962","95126-4863",200
"963","95127",40190.96
"964","95127-0000",400
"965","95127-1001",100
"966","95127-1216",200
"967","95127-1235",750
"968","95127-1447",1500
"969","95127-2214",150
"970","95127-2413",400
"971","95127-2437",1150
"972","95127-2518",100
"973","95127-2533",725
"974","95127-2603",1500
"975","95127-2722",450
"976","95127-2727",200
"977","95127-2838",300
"978","95127-3650",3000
"979","95127-3913",2400
"980","95127-4212",300
"981","95127-4307",1500
"982","95127-4327",750
"983","95127-4401",75
"984","95127-4420",2200
"985","95127-4436",75
"986","95127-4438",500
"987","95127-4910",400
"988","95127-5440",250
"989","95127-5572",1100
"990","95128",45720.82
"991","95128-0000",4200
"992","95128-1129",300
"993","95128-1229",50
"994","95128-1707",200
"995","95128-2560",300
"996","95128-3404",200
"997","95128-4214",500
"998","95129",11730
"999","95129-1452",1500
"1000","95129-3399",1000
"1001","95129-3867",300
"1002","95129-4744",1100
"1003","95129-4776",900
"1004","95130",3810
"1005","95130-1210",300
"1006","95130-1235",150
"1007","95130-1845",75
"1008","95130-1915",200
"1009","95130-2148",100
"1010","95131",37023.84
"1011","95131-1026",200
"1012","95131-1040",70
"1013","95131-1708",700
"1014","95131-1924",100
"1015","95131-1930",200
"1016","95131-1959",16
"1017","95131-2430",3300
"1018","95131-2531",300
"1019","95131-2539",100
"1020","95131-2756",500
"1021","95131-3901",300
"1022","95132",30358
"1023","95132-2418",1450
"1024","95132-2522",200
"1025","95132-2827",600
"1026","95132-2900",1500
"1027","95132-2958",600
"1028","95132-3125",50
