ZipCode;TotalAmount;
92106;300;Liccardo
92107;50;Liccardo
92110;25;Liccardo
92116;250;Liccardo
92121;750;Liccardo
92123;1100;Liccardo
92127;1100;Liccardo
92130;4600;Liccardo
92210;1000;Liccardo
92253;1100;Liccardo
92868;6600;Liccardo
93720;1100;Liccardo
93923;2947;Liccardo
93924;1800;Liccardo
93953;3700;Liccardo
94002;3800;Liccardo
94010;14600;Liccardo
94015;550;Liccardo
94022;14950;Liccardo
94024;28949;Liccardo
94025;19450;Liccardo
94027;15400;Liccardo
94028;4225;Liccardo
94030;2300;Liccardo
94037;6300;Liccardo
94038;1000;Liccardo
94040;3700;Liccardo
94041;3650;Liccardo
94043;1950;Liccardo
94061;250;Liccardo
94062;2450;Liccardo
94065;300;Liccardo
94066;3300;Liccardo
94070;1900;Liccardo
94072;1500;Liccardo
94085;600;Liccardo
94086;2500;Liccardo
94087;8120;Liccardo
94089;1100;Liccardo
94102;10;Liccardo
94103;300;Liccardo
94105;-100;Liccardo
94107;4000;Liccardo
94108;-250;Liccardo
94109;4020;Liccardo
94110;7400;Liccardo
94111;5050;Liccardo
94112;-100;Liccardo
94114;1450;Liccardo
94115;7000;Liccardo
94116;-500;Liccardo
94117;-100;Liccardo
94118;2115;Liccardo
94122;750;Liccardo
94123;4700;Liccardo
94129;546;Liccardo
94131;700;Liccardo
94133;4150;Liccardo
94148;1042;Liccardo
94158;250;Liccardo
94301;19800;Liccardo
94303;3300;Liccardo
94305;250;Liccardo
94306;2700;Liccardo
94402;3550;Liccardo
94403;2100;Liccardo
94404;1200;Liccardo
94501;750;Liccardo
94502;1100;Liccardo
94505;1000;Liccardo
94506;4900;Liccardo
94507;200;Liccardo
94513;4150;Liccardo
94515;500;Liccardo
94520;3300;Liccardo
94526;800;Liccardo
94536;350;Liccardo
94538;3796;Liccardo
94539;1450;Liccardo
94544;750;Liccardo
94545;300;Liccardo
94549;3300;Liccardo
94550;250;Liccardo
94563;250;Liccardo
94566;2600;Liccardo
94577;200;Liccardo
94582;600;Liccardo
94583;6350;Liccardo
94588;9900;Liccardo
94596;4400;Liccardo
94608;1100;Liccardo
94611;9650;Liccardo
94618;100;Liccardo
94705;450;Liccardo
94706;7;Liccardo
94708;100;Liccardo
94939;1100;Liccardo
94941;1250;Liccardo
94963;300;Liccardo
95003;100;Liccardo
95005;300;Liccardo
95008;18730;Liccardo
95010;1600;Liccardo
95014;21275;Liccardo
95018;170;Liccardo
95020;5725;Liccardo
95023;1400;Liccardo
95030;53250;Liccardo
95032;38200;Liccardo
95033;7272;Liccardo
95035;5801;Liccardo
95037;6650;Liccardo
95046;1500;Liccardo
95050;16645;Liccardo
95051;4900;Liccardo
95053;1100;Liccardo
95054;9760;Liccardo
95060;3050;Liccardo
95062;1350;Liccardo
95066;150;Liccardo
95070;38110;Liccardo
95073;400;Liccardo
95076;3000;Liccardo
95101;198;Liccardo
95106;3300;Liccardo
95108;500;Liccardo
95109;2700;Liccardo
95110;44340;Liccardo
95111;10092;Liccardo
95112;100815;Liccardo
95113;57595;Liccardo
95114;350;Liccardo
95116;15500;Liccardo
95117;7730;Liccardo
95118;6928;Liccardo
95119;550;Liccardo
95120;45040;Liccardo
95121;950;Liccardo
95122;500;Liccardo
95123;6632;Liccardo
95124;27175;Liccardo
95125;88410;Liccardo
95126;52873;Liccardo
95127;12250;Liccardo
95128;15379.84;Liccardo
95129;6255;Liccardo
95130;1500;Liccardo
95131;7270;Liccardo
95132;5350;Liccardo
95133;1000;Liccardo
95134;2398;Liccardo
95135;4950;Liccardo
95136;13936;Liccardo
95138;13750;Liccardo
95139;1400;Liccardo
95140;2200;Liccardo
95148;10060;Liccardo
95153;50;Liccardo
95161;1500;Liccardo
95206;398;Liccardo
95209;1000;Liccardo
95219;1000;Liccardo
95340;100;Liccardo
95360;2200;Liccardo
95376;450;Liccardo
95404;100;Liccardo
95442;750;Liccardo
95448;1100;Liccardo
95472;50;Liccardo
95476;100;Liccardo
95611;750;Liccardo
95630;1200;Liccardo
95631;3300;Liccardo
95650;300;Liccardo
95742;1500;Liccardo
95811;2700;Liccardo
95814;7000;Liccardo
95864;3300;Liccardo
96002;350;Liccardo
96110;1100;Liccardo
96740;3300;Liccardo
96813;500;Liccardo
96819;250;Liccardo
97214;1100;Liccardo
97225;3300;Liccardo
97229;2200;Liccardo
97267;100;Liccardo
97520;300;Liccardo
98033;450;Liccardo
98101;-1500;Liccardo
98104;1100;Liccardo
98118;500;Liccardo
7601;100;Nguyen
7950;50;Nguyen
11201;1100;Nguyen
11223;20;Nguyen
14202;100;Nguyen
19711;1000;Nguyen
20015;500;Nguyen
22046;25;Nguyen
22205;50;Nguyen
27403;25;Nguyen
32809;500;Nguyen
33041;100;Nguyen
34677;50;Nguyen
34744;10;Nguyen
39530;1100;Nguyen
39540;1000;Nguyen
40444;25;Nguyen
48124;25;Nguyen
49120;10;Nguyen
49423;10;Nguyen
54136;25;Nguyen
60657;20;Nguyen
70072;10;Nguyen
85054;1100;Nguyen
85274;1100;Nguyen
85392;60;Nguyen
89074;20;Nguyen
89109;1100;Nguyen
89120;1000;Nguyen
90024;1105;Nguyen
90026;5;Nguyen
90068;100;Nguyen
90212;50;Nguyen
90217;25;Nguyen
90245;5;Nguyen
90266;1100;Nguyen
90401;1350;Nguyen
90503;25;Nguyen
90620;20;Nguyen
90623;5;Nguyen
90640;5;Nguyen
90701;10;Nguyen
90703;113;Nguyen
91001;10;Nguyen
91108;10;Nguyen
91304;250;Nguyen
91335;15;Nguyen
91423;1100;Nguyen
91755;1000;Nguyen
91801;1000;Nguyen
91977;20;Nguyen
92024;1100;Nguyen
92067;1100;Nguyen
92126;125;Nguyen
92505;1300;Nguyen
92563;5000;Nguyen
92596;2000;Nguyen
92612;50;Nguyen
92647;5;Nguyen
92660;3300;Nguyen
92683;1375;Nguyen
92708;2000;Nguyen
92780;100;Nguyen
92801;1105;Nguyen
92805;50;Nguyen
92843;50;Nguyen
92868;100;Nguyen
93720;10;Nguyen
93905;100;Nguyen
93924;1000;Nguyen
93933;25;Nguyen
93950;1100;Nguyen
93953;1100;Nguyen
94002;2200;Nguyen
94010;10400;Nguyen
94014;5;Nguyen
94015;3600;Nguyen
94022;3475;Nguyen
94024;1800;Nguyen
94027;1100;Nguyen
94030;3320;Nguyen
94041;500;Nguyen
94043;20;Nguyen
94044;100;Nguyen
94063;100;Nguyen
94065;1100;Nguyen
94066;1240;Nguyen
94070;3949;Nguyen
94080;1100;Nguyen
94085;2155;Nguyen
94086;500;Nguyen
94087;275;Nguyen
94088;300;Nguyen
94089;10;Nguyen
94102;5;Nguyen
94105;20;Nguyen
94108;1000;Nguyen
94109;50;Nguyen
94110;1000;Nguyen
94111;1100;Nguyen
94112;1000;Nguyen
94115;1100;Nguyen
94118;300;Nguyen
94121;5;Nguyen
94122;100;Nguyen
94131;100;Nguyen
94134;299;Nguyen
94158;55;Nguyen
94159;1000;Nguyen
94301;1100;Nguyen
94303;500;Nguyen
94306;1110;Nguyen
94402;500;Nguyen
94403;1015;Nguyen
94501;500;Nguyen
94502;1232;Nguyen
94506;1600;Nguyen
94513;3120;Nguyen
94520;1100;Nguyen
94521;30;Nguyen
94523;50;Nguyen
94536;1320;Nguyen
94538;2700;Nguyen
94539;8365;Nguyen
94541;1099;Nguyen
94544;2875;Nguyen
94545;10;Nguyen
94546;100;Nguyen
94550;1000;Nguyen
94552;2025;Nguyen
94555;110;Nguyen
94560;725;Nguyen
94565;20;Nguyen
94566;1000;Nguyen
94568;20;Nguyen
94577;500;Nguyen
94579;5;Nguyen
94580;90;Nguyen
94582;100;Nguyen
94583;1025;Nguyen
94587;269;Nguyen
94588;2210;Nguyen
94589;100;Nguyen
94596;1100;Nguyen
94601;15;Nguyen
94605;2000;Nguyen
94606;2115;Nguyen
94608;1600;Nguyen
94609;51;Nguyen
94610;104;Nguyen
94611;2200;Nguyen
94619;1145;Nguyen
94621;250;Nguyen
94706;250;Nguyen
94804;500;Nguyen
94806;1100;Nguyen
94920;1100;Nguyen
95008;3670;Nguyen
95010;500;Nguyen
95013;500;Nguyen
95014;3520;Nguyen
95020;847;Nguyen
95030;2135;Nguyen
95031;50;Nguyen
95032;6305;Nguyen
95035;9716;Nguyen
95036;100;Nguyen
95037;2509;Nguyen
95050;9765;Nguyen
95051;4340;Nguyen
95054;5536;Nguyen
95060;20;Nguyen
95070;6374;Nguyen
95073;50;Nguyen
95088;1000;Nguyen
95109;250;Nguyen
95110;9335;Nguyen
95111;16286;Nguyen
95112;38528;Nguyen
95113;10179;Nguyen
95116;8644;Nguyen
95117;1925;Nguyen
95118;2010;Nguyen
95119;1120;Nguyen
95120;4590;Nguyen
95121;30603;Nguyen
95122;20139;Nguyen
95123;1400;Nguyen
95124;4684;Nguyen
95125;6724;Nguyen
95126;8693;Nguyen
95127;8119;Nguyen
95128;6595;Nguyen
95129;225;Nguyen
95131;18878;Nguyen
95132;12575;Nguyen
95133;4473;Nguyen
95134;1220;Nguyen
95135;7908;Nguyen
95136;4955;Nguyen
95137;500;Nguyen
95138;10690;Nguyen
95139;30;Nguyen
95148;19243;Nguyen
95150;1106;Nguyen
95151;1625;Nguyen
95153;30;Nguyen
95155;200;Nguyen
95160;5;Nguyen
95164;2180;Nguyen
95170;1000;Nguyen
95173;3000;Nguyen
95201;500;Nguyen
95301;5;Nguyen
95311;100;Nguyen
95350;5;Nguyen
95355;100;Nguyen
95377;15;Nguyen
95382;300;Nguyen
95391;300;Nguyen
95492;2000;Nguyen
95616;15;Nguyen
95624;1050;Nguyen
95631;1100;Nguyen
95746;500;Nguyen
95758;65;Nguyen
95759;20;Nguyen
95811;8;Nguyen
95814;1100;Nguyen
95823;500;Nguyen
95833;100;Nguyen
95835;20;Nguyen
97201;1000;Nguyen
97223;1000;Nguyen
98030;1000;Nguyen
98101;500;Nguyen
99723;500;Nguyen
10012;250;Oliverio
11968;50;Oliverio
75070;25;Oliverio
77354;50;Oliverio
80487;100;Oliverio
85054;1100;Oliverio
90401;350;Oliverio
91103;1000;Oliverio
91108;518;Oliverio
91304;350;Oliverio
92014;150;Oliverio
92025;250;Oliverio
92064;100;Oliverio
92067;250;Oliverio
92121;250;Oliverio
92130;300;Oliverio
92624;100;Oliverio
92866;250;Oliverio
93908;100;Oliverio
94002;200;Oliverio
94010;50;Oliverio
94025;1100;Oliverio
94027;250;Oliverio
94070;200;Oliverio
94086;2000;Oliverio
94087;1350;Oliverio
94109;100;Oliverio
94129;50;Oliverio
94301;1950;Oliverio
94306;100;Oliverio
94530;1100;Oliverio
94542;50;Oliverio
94583;500;Oliverio
94597;100;Oliverio
95008;650;Oliverio
95013;500;Oliverio
95014;1000;Oliverio
95030;6100;Oliverio
95031;500;Oliverio
95032;5850;Oliverio
95033;2200;Oliverio
95037;700;Oliverio
95050;6000;Oliverio
95051;350;Oliverio
95054;1100;Oliverio
95060;500;Oliverio
95062;200;Oliverio
95063;20;Oliverio
95070;2085;Oliverio
95110;1850;Oliverio
95112;7575;Oliverio
95113;4200;Oliverio
95116;100;Oliverio
95117;50;Oliverio
95118;1420;Oliverio
95120;1675;Oliverio
95122;500;Oliverio
95123;2530;Oliverio
95124;5645;Oliverio
95125;56230.49;Oliverio
95126;20775;Oliverio
95127;50;Oliverio
95128;4870;Oliverio
95129;20;Oliverio
95131;1200;Oliverio
95135;1100;Oliverio
95136;1100;Oliverio
95138;200;Oliverio
95139;30;Oliverio
95150;4400;Oliverio
95159;400;Oliverio
95301;1000;Oliverio
95648;200;Oliverio
95746;50;Oliverio
95814;1100;Oliverio
96134;100;Oliverio
